frame_index,timestamp_sec,people_total,people_in_zone,entries_total
1,0.000,6,3,3
2,0.040,5,2,3
3,0.080,5,2,3
4,0.120,6,3,3
5,0.160,5,2,3
6,0.200,5,2,3
7,0.240,6,2,3
8,0.280,5,2,4
9,0.320,5,2,4
10,0.360,5,2,4
11,0.400,5,2,4
12,0.440,5,2,4
13,0.480,5,2,4
14,0.520,5,2,4
15,0.560,5,2,4
16,0.600,5,2,4
17,0.640,5,2,4
18,0.680,5,2,4
19,0.720,5,2,4
20,0.760,5,2,4
21,0.800,5,2,4
22,0.840,5,2,4
23,0.880,5,2,4
24,0.920,5,2,4
25,0.960,5,2,4
26,1.000,5,2,4
27,1.040,5,2,4
28,1.080,5,2,4
29,1.120,6,2,4
30,1.160,6,2,4
31,1.200,6,2,4
32,1.240,6,2,4
33,1.280,6,2,4
34,1.320,6,2,4
35,1.360,5,2,4
36,1.400,5,2,4
37,1.440,6,2,4
38,1.480,5,2,4
39,1.520,5,2,4
40,1.560,5,2,4
41,1.600,5,2,4
42,1.640,5,2,4
43,1.680,5,2,4
44,1.720,5,2,4
45,1.760,5,2,4
46,1.800,5,2,4
47,1.840,5,2,4
48,1.880,5,2,4
49,1.920,5,2,4
50,1.960,5,2,4
51,2.000,5,2,4
52,2.040,5,2,4
53,2.080,5,2,4
54,2.120,5,2,4
55,2.160,6,2,4
56,2.200,6,2,4
57,2.240,8,2,4
58,2.280,8,2,4
59,2.320,8,2,4
60,2.360,7,2,4
61,2.400,7,2,4
62,2.440,7,2,4
63,2.480,7,2,4
64,2.520,7,2,4
65,2.560,8,2,4
66,2.600,8,2,4
67,2.640,8,2,4
68,2.680,8,3,5
69,2.720,7,3,5
70,2.760,8,3,5
71,2.800,7,3,5
72,2.840,8,3,5
73,2.880,7,3,5
74,2.920,7,3,5
75,2.960,7,2,5
76,3.000,7,3,6
77,3.040,8,3,6
78,3.080,8,3,6
79,3.120,7,2,6
80,3.160,7,2,6
81,3.200,7,3,7
82,3.240,7,3,7
83,3.280,7,3,7
84,3.320,8,3,7
85,3.360,7,3,7
86,3.400,7,3,7
87,3.440,7,3,7
88,3.480,7,3,7
89,3.520,6,3,7
90,3.560,6,3,7
91,3.600,6,3,7
92,3.640,6,3,7
93,3.680,6,3,7
94,3.720,6,3,7
95,3.760,6,3,7
96,3.800,7,3,7
97,3.840,8,3,7
98,3.880,8,3,7
99,3.920,8,3,7
100,3.960,7,3,7
101,4.000,7,3,7
102,4.040,7,3,7
103,4.080,7,3,7
104,4.120,8,3,7
105,4.160,7,3,7
106,4.200,7,3,7
107,4.240,8,3,7
108,4.280,7,3,7
109,4.320,7,3,7
110,4.360,7,3,7
111,4.400,7,3,7
112,4.440,7,3,7
113,4.480,7,3,7
114,4.520,7,3,7
115,4.560,7,3,7
116,4.600,7,3,7
117,4.640,7,3,7
118,4.680,7,3,7
119,4.720,7,3,7
120,4.760,7,3,7
121,4.800,7,3,7
122,4.840,7,3,7
123,4.880,7,3,7
124,4.920,7,3,7
125,4.960,9,3,7
126,5.000,8,3,7
127,5.040,9,3,7
128,5.080,9,3,7
129,5.120,8,3,7
130,5.160,8,3,7
131,5.200,8,3,7
132,5.240,8,3,7
133,5.280,8,3,7
134,5.320,8,3,7
135,5.360,8,3,7
136,5.400,8,3,7
137,5.440,8,3,7
138,5.480,8,3,7
139,5.520,8,3,7
140,5.560,8,3,7
141,5.600,8,3,7
142,5.640,8,3,7
143,5.680,8,3,7
144,5.720,8,3,7
145,5.760,8,3,7
146,5.800,8,3,7
147,5.840,8,3,7
148,5.880,8,3,7
149,5.920,8,3,7
150,5.960,8,3,7
151,6.000,9,3,7
152,6.040,8,3,7
153,6.080,8,3,7
154,6.120,8,3,7
155,6.160,8,3,7
156,6.200,8,3,7
157,6.240,8,3,7
158,6.280,8,3,7
159,6.320,8,3,7
160,6.360,9,3,7
161,6.400,7,3,7
162,6.440,7,3,7
163,6.480,7,3,7
164,6.520,7,3,7
165,6.560,7,3,7
166,6.600,7,3,7
167,6.640,7,3,7
168,6.680,7,3,7
169,6.720,7,3,7
170,6.760,7,3,7
171,6.800,7,3,7
172,6.840,7,3,7
173,6.880,7,3,7
174,6.920,7,3,7
175,6.960,7,3,7
176,7.000,7,2,7
177,7.040,6,2,7
178,7.080,6,2,7
179,7.120,6,2,7
180,7.160,6,2,7
181,7.200,6,2,7
182,7.240,6,3,8
183,7.280,6,3,8
184,7.320,6,3,8
185,7.360,6,3,8
186,7.400,6,3,8
187,7.440,6,3,8
188,7.480,6,3,8
189,7.520,6,3,8
190,7.560,6,3,8
191,7.600,6,3,8
192,7.640,6,3,8
193,7.680,6,3,8
194,7.720,7,3,8
195,7.760,6,3,8
196,7.800,6,3,8
197,7.840,6,3,8
198,7.880,6,3,8
199,7.920,6,3,8
200,7.960,6,3,8
201,8.000,6,3,8
202,8.040,6,3,8
203,8.080,6,3,8
204,8.120,6,3,8
205,8.160,6,3,8
206,8.200,6,3,8
207,8.240,6,3,8
208,8.280,6,3,8
209,8.320,6,3,8
210,8.360,6,3,8
211,8.400,6,3,8
212,8.440,6,3,8
213,8.480,6,3,8
214,8.520,6,3,8
215,8.560,6,3,8
216,8.600,6,3,8
217,8.640,6,3,8
218,8.680,6,3,8
219,8.720,6,3,8
220,8.760,6,3,8
221,8.800,6,3,8
222,8.840,6,3,8
223,8.880,6,3,8
224,8.920,6,3,8
225,8.960,6,3,8
226,9.000,6,3,8
227,9.040,6,3,8
228,9.080,6,3,8
229,9.120,6,3,8
230,9.160,6,3,8
231,9.200,6,3,8
232,9.240,7,3,8
233,9.280,6,3,8
234,9.320,6,3,8
235,9.360,6,2,8
236,9.400,7,2,8
237,9.440,6,2,8
238,9.480,6,2,8
239,9.520,5,2,8
240,9.560,5,2,8
241,9.600,5,2,8
242,9.640,5,2,8
243,9.680,5,2,8
244,9.720,5,2,8
245,9.760,5,2,8
246,9.800,5,2,8
247,9.840,5,2,8
248,9.880,5,2,8
249,9.920,5,2,8
250,9.960,5,2,8
251,10.000,5,2,8
252,10.040,6,2,8
253,10.080,5,2,8
254,10.120,5,2,8
255,10.160,4,2,8
256,10.200,5,2,8
257,10.240,7,2,8
258,10.280,7,2,8
259,10.320,7,2,8
260,10.360,6,2,8
261,10.400,6,2,8
262,10.440,6,2,8
263,10.480,5,2,8
264,10.520,5,2,8
265,10.560,5,2,8
266,10.600,5,2,8
267,10.640,5,2,8
268,10.680,5,2,8
269,10.720,5,2,8
270,10.760,5,3,8
271,10.800,5,3,8
272,10.840,5,3,8
273,10.880,5,3,8
274,10.920,5,3,8
275,10.960,6,3,8
276,11.000,6,3,8
277,11.040,7,4,8
278,11.080,5,2,8
279,11.120,6,3,9
280,11.160,5,2,9
281,11.200,5,2,9
282,11.240,6,3,10
283,11.280,6,3,10
284,11.320,5,2,10
285,11.360,6,3,11
286,11.400,6,3,11
287,11.440,6,3,11
288,11.480,6,3,11
289,11.520,6,3,11
290,11.560,7,3,11
291,11.600,7,3,11
292,11.640,7,3,11
293,11.680,7,3,11
294,11.720,7,3,11
295,11.760,7,3,11
296,11.800,8,4,11
297,11.840,7,3,11
298,11.880,7,3,11
299,11.920,7,3,11
300,11.960,6,3,11
301,12.000,4,3,11
302,12.040,6,4,11
303,12.080,4,2,11
304,12.120,4,2,11
305,12.160,4,2,11
306,12.200,4,2,11
307,12.240,4,2,11
308,12.280,4,2,11
309,12.320,4,2,11
310,12.360,4,2,11
311,12.400,4,2,11
312,12.440,5,2,11
313,12.480,5,2,11
314,12.520,5,2,11
315,12.560,5,2,11
316,12.600,5,2,11
317,12.640,5,2,11
318,12.680,5,2,11
319,12.720,5,2,11
320,12.760,5,2,11
321,12.800,6,2,11
322,12.840,6,2,11
323,12.880,6,3,12
324,12.920,6,3,12
325,12.960,6,3,12
326,13.000,6,3,12
327,13.040,6,3,12
328,13.080,6,3,12
329,13.120,5,3,12
330,13.160,5,3,12
331,13.200,5,3,12
332,13.240,5,2,12
333,13.280,6,2,12
334,13.320,6,2,12
335,13.360,6,2,12
336,13.400,6,2,12
337,13.440,7,1,12
338,13.480,6,1,12
339,13.520,6,1,12
340,13.560,6,1,12
341,13.600,6,1,12
342,13.640,6,1,12
343,13.680,6,1,12
344,13.720,6,1,12
345,13.760,5,1,12
346,13.800,5,1,12
347,13.840,5,1,12
348,13.880,5,1,12
349,13.920,5,1,12
350,13.960,5,1,12
351,14.000,5,1,12
352,14.040,5,1,12
353,14.080,5,1,12
354,14.120,5,1,12
355,14.160,5,1,12
356,14.200,6,1,12
357,14.240,5,1,12
358,14.280,5,1,12
359,14.320,5,1,12
360,14.360,5,1,12
361,14.400,5,1,12
362,14.440,5,1,12
363,14.480,5,1,12
364,14.520,5,1,12
365,14.560,5,1,12
366,14.600,5,1,12
367,14.640,4,1,12
368,14.680,5,1,12
369,14.720,5,1,12
370,14.760,5,1,12
371,14.800,5,1,12
372,14.840,5,1,12
373,14.880,5,1,12
374,14.920,5,1,12
375,14.960,5,1,12
376,15.000,5,1,12
377,15.040,5,1,12
378,15.080,5,1,12
379,15.120,3,1,12
380,15.160,3,1,12
381,15.200,3,1,12
382,15.240,3,1,12
383,15.280,3,1,12
384,15.320,4,1,12
385,15.360,4,1,12
386,15.400,4,1,12
387,15.440,4,1,12
388,15.480,4,1,12
389,15.520,4,1,12
390,15.560,4,0,12
391,15.600,4,0,12
392,15.640,4,0,12
393,15.680,4,0,12
394,15.720,4,0,12
395,15.760,4,0,12
396,15.800,4,0,12
397,15.840,4,0,12
398,15.880,4,0,12
399,15.920,4,0,12
400,15.960,4,0,12
401,16.000,3,0,12
402,16.040,3,0,12
403,16.080,3,0,12
404,16.120,3,0,12
405,16.160,3,0,12
406,16.200,3,0,12
407,16.240,3,0,12
408,16.280,3,0,12
409,16.320,3,0,12
410,16.360,3,0,12
411,16.400,4,0,12
412,16.440,4,0,12
413,16.480,4,0,12
414,16.520,4,0,12
415,16.560,4,0,12
416,16.600,4,0,12
417,16.640,4,0,12
418,16.680,5,0,12
419,16.720,5,0,12
420,16.760,5,0,12
421,16.800,5,0,12
422,16.840,4,0,12
423,16.880,5,0,12
424,16.920,5,0,12
425,16.960,5,0,12
426,17.000,5,0,12
427,17.040,4,0,12
428,17.080,4,0,12
429,17.120,4,0,12
430,17.160,4,0,12
431,17.200,4,0,12
432,17.240,4,0,12
433,17.280,4,0,12
434,17.320,4,0,12
435,17.360,4,0,12
436,17.400,4,0,12
437,17.440,4,0,12
438,17.480,4,0,12
439,17.520,4,0,12
440,17.560,4,0,12
441,17.600,4,0,12
442,17.640,4,0,12
443,17.680,4,0,12
444,17.720,4,0,12
445,17.760,3,0,12
446,17.800,3,0,12
447,17.840,3,0,12
448,17.880,3,0,12
449,17.920,3,0,12
450,17.960,3,0,12
451,18.000,3,0,12
452,18.040,3,0,12
453,18.080,3,0,12
454,18.120,3,0,12
455,18.160,3,0,12
456,18.200,3,0,12
457,18.240,3,0,12
458,18.280,4,0,12
459,18.320,4,0,12
460,18.360,3,0,12
461,18.400,3,0,12
